cod_munibge,area plantada,area colhida,quantidade produzida,valor da producao,cod_produto
4100103,0,0,0,0,1
4100103,0,0,0,0,2
4100103,0,0,0,0,3
4100103,0,0,0,0,4
4100103,0,0,0,0,5
4100103,0,0,0,0,6
4100103,0,0,0,0,7
4100103,1,1,1,3,8
4100103,2,2,4,6,9
4100103,0,0,0,0,10
4100103,0,0,0,0,11
4100103,60,60,864,1209,12
4100103,0,0,0,0,13
4100103,0,0,0,0,14
4100103,0,0,0,0,15
4100103,0,0,0,0,16
4100103,0,0,0,0,17
4100103,380,380,433,8348,18
4100103,380,380,433,8348,19
4100103,0,0,0,0,20
4100103,0,0,0,0,21
4100103,560,560,40454,4787,22
4100103,0,0,0,0,23
4100103,0,0,0,0,24
4100103,0,0,0,0,25
4100103,0,0,0,0,26
4100103,0,0,0,0,27
4100103,0,0,0,0,28
4100103,0,0,0,0,29
4100103,0,0,0,0,30
4100103,0,0,0,0,31
4100103,0,0,0,0,32
4100103,0,0,0,0,33
4100103,0,0,0,0,34
4100103,34,34,25,137,35
4100103,0,0,0,0,36
4100103,0,0,0,0,37
4100103,0,0,0,0,38
4100103,0,0,0,0,39
4100103,0,0,0,0,40
4100103,0,0,0,0,41
4100103,0,0,0,0,42
4100103,0,0,0,0,43
4100103,0,0,0,0,44
4100103,0,0,0,0,45
4100103,0,0,0,0,46
4100103,0,0,0,0,47
4100103,0,0,0,0,48
4100103,5,5,91,101,49
4100103,0,0,0,0,50
4100103,2,2,34,135,51
4100103,0,0,0,0,52
4100103,0,0,0,0,53
4100103,0,0,0,0,54
4100103,5820,5820,34364,42391,55
4100103,0,0,0,0,56
4100103,0,0,0,0,57
4100103,0,0,0,0,58
4100103,0,0,0,0,59
4100103,0,0,0,0,60
4100103,0,0,0,0,61
4100103,0,0,0,0,62
4100103,10470,10470,37064,114457,63
4100103,0,0,0,0,64
4100103,0,0,0,0,65
4100103,14,14,575,1225,66
4100103,2850,2850,4275,6678,67
4100103,0,0,0,0,68
4100103,0,0,0,0,69
4100103,0,0,0,0,70
4100103,0,0,0,0,71
4100202,6,6,75,216,1
4100202,0,0,0,0,2
4100202,0,0,0,0,3
4100202,0,0,0,0,4
4100202,0,0,0,0,5
4100202,0,0,0,0,6
4100202,0,0,0,0,7
4100202,0,0,0,0,8
4100202,12,12,19,32,9
4100202,0,0,0,0,10
4100202,0,0,0,0,11
4100202,100,100,2000,2225,12
4100202,15,15,300,510,13
4100202,0,0,0,0,14
4100202,0,0,0,0,15
4100202,0,0,0,0,16
4100202,0,0,0,0,17
4100202,0,0,0,0,18
4100202,0,0,0,0,19
4100202,0,0,0,0,20
4100202,0,0,0,0,21
4100202,372,372,15624,1559,22
4100202,0,0,0,0,23
4100202,2,2,20,42,24
4100202,0,0,0,0,25
4100202,0,0,0,0,26
4100202,0,0,0,0,27
4100202,0,0,0,0,28
4100202,0,0,0,0,29
4100202,0,0,0,0,30
4100202,0,0,0,0,31
4100202,0,0,0,0,32
4100202,0,0,0,0,33
4100202,0,0,0,0,34
4100202,815,815,1211,5007,35
4100202,0,0,0,0,36
4100202,0,0,0,0,37
4100202,0,0,0,0,38
4100202,0,0,0,0,39
4100202,0,0,0,0,40
4100202,0,0,0,0,41
4100202,8,8,120,109,42
4100202,1,1,10,12,43
4100202,0,0,0,0,44
4100202,0,0,0,0,45
4100202,0,0,0,0,46
4100202,0,0,0,0,47
4100202,0,0,0,0,48
4100202,100,100,1800,2498,49
4100202,0,0,0,0,50
4100202,15,15,240,950,51
4100202,0,0,0,0,52
4100202,0,0,0,0,53
4100202,0,0,0,0,54
4100202,1100,1100,7150,10010,55
4100202,0,0,0,0,56
4100202,0,0,0,0,57
4100202,0,0,0,0,58
4100202,0,0,0,0,59
4100202,0,0,0,0,60
4100202,0,0,0,0,61
4100202,0,0,0,0,62
4100202,0,0,0,0,63
4100202,0,0,0,0,64
4100202,0,0,0,0,65
4100202,20,20,920,2320,66
4100202,0,0,0,0,67
4100202,0,0,0,0,68
4100202,0,0,0,0,69
4100202,0,0,0,0,70
4100202,0,0,0,0,71
4100301,0,0,0,0,1
4100301,0,0,0,0,2
4100301,0,0,0,0,3
4100301,0,0,0,0,4
4100301,0,0,0,0,5
4100301,0,0,0,0,6
4100301,0,0,0,0,7
4100301,0,0,0,0,8
4100301,2,2,5,8,9
4100301,0,0,0,0,10
4100301,0,0,0,0,11
4100301,0,0,0,0,12
4100301,0,0,0,0,13
4100301,15,15,383,512,14
4100301,0,0,0,0,15
4100301,0,0,0,0,16
4100301,0,0,0,0,17
4100301,0,0,0,0,18
4100301,0,0,0,0,19
4100301,0,0,0,0,20
4100301,0,0,0,0,21
4100301,0,0,0,0,22
4100301,0,0,0,0,23
4100301,0,0,0,0,24
4100301,0,0,0,0,25
4100301,22,22,513,689,26
4100301,0,0,0,0,27
4100301,0,0,0,0,28
4100301,0,0,0,0,29
4100301,0,0,0,0,30
4100301,0,0,0,0,31
4100301,9,9,27,32,32
4100301,0,0,0,0,33
4100301,0,0,0,0,34
4100301,520,520,1157,4430,35
4100301,0,0,0,0,36
4100301,650,650,1755,18150,37
4100301,0,0,0,0,38
4100301,0,0,0,0,39
4100301,0,0,0,0,40
4100301,0,0,0,0,41
4100301,0,0,0,0,42
4100301,0,0,0,0,43
4100301,0,0,0,0,44
4100301,14,14,467,985,45
4100301,0,0,0,0,46
4100301,0,0,0,0,47
4100301,0,0,0,0,48
4100301,35,35,1050,1439,49
4100301,0,0,0,0,50
4100301,0,0,0,0,51
4100301,0,0,0,0,52
4100301,0,0,0,0,53
4100301,0,0,0,0,54
4100301,3700,3700,33300,49018,55
4100301,0,0,0,0,56
4100301,0,0,0,0,57
4100301,0,0,0,0,58
4100301,2,2,20,80,59
4100301,0,0,0,0,60
4100301,0,0,0,0,61
4100301,0,0,0,0,62
4100301,1730,1730,6661,21089,63
4100301,0,0,0,0,64
4100301,0,0,0,0,65
4100301,5,5,175,506,66
4100301,50,50,190,298,67
4100301,0,0,0,0,68
4100301,0,0,0,0,69
4100301,0,0,0,0,70
4100301,4,4,37,196,71
4100400,0,0,0,0,1
4100400,0,0,0,0,2
4100400,0,0,0,0,3
4100400,0,0,0,0,4
4100400,0,0,0,0,5
4100400,0,0,0,0,6
4100400,0,0,0,0,7
4100400,0,0,0,0,8
4100400,0,0,0,0,9
4100400,0,0,0,0,10
4100400,0,0,0,0,11
4100400,0,0,0,0,12
4100400,0,0,0,0,13
4100400,40,40,971,1171,14
4100400,0,0,0,0,15
4100400,0,0,0,0,16
4100400,0,0,0,0,17
4100400,0,0,0,0,18
4100400,0,0,0,0,19
4100400,0,0,0,0,20
4100400,0,0,0,0,21
4100400,0,0,0,0,22
4100400,0,0,0,0,23
4100400,5,5,50,221,24
4100400,0,0,0,0,25
4100400,60,60,1440,2088,26
4100400,0,0,0,0,27
4100400,0,0,0,0,28
4100400,0,0,0,0,29
4100400,0,0,0,0,30
4100400,0,0,0,0,31
4100400,0,0,0,0,32
4100400,0,0,0,0,33
4100400,0,0,0,0,34
4100400,1260,1260,1918,8945,35
4100400,5,5,50,650,36
4100400,0,0,0,0,37
4100400,0,0,0,0,38
4100400,0,0,0,0,39
4100400,0,0,0,0,40
4100400,0,0,0,0,41
4100400,0,0,0,0,42
4100400,0,0,0,0,43
4100400,0,0,0,0,44
4100400,0,0,0,0,45
4100400,0,0,0,0,46
4100400,0,0,0,0,47
4100400,0,0,0,0,48
4100400,30,30,596,715,49
4100400,0,0,0,0,50
4100400,0,0,0,0,51
4100400,0,0,0,0,52
4100400,0,0,0,0,53
4100400,0,0,0,0,54
4100400,780,780,6474,9592,55
4100400,0,0,0,0,56
4100400,0,0,0,0,57
4100400,0,0,0,0,58
4100400,7,7,37,110,59
4100400,0,0,0,0,60
4100400,0,0,0,0,61
4100400,0,0,0,0,62
4100400,154,154,544,1620,63
4100400,0,0,0,0,64
4100400,0,0,0,0,65
4100400,20,20,1033,3160,66
4100400,0,0,0,0,67
4100400,0,0,0,0,68
4100400,0,0,0,0,69
4100400,0,0,0,0,70
4100400,30,30,450,2511,71
4100459,0,0,0,0,1
4100459,0,0,0,0,2
4100459,0,0,0,0,3
4100459,0,0,0,0,4
4100459,0,0,0,0,5
4100459,0,0,0,0,6
4100459,0,0,0,0,7
4100459,0,0,0,0,8
4100459,0,0,0,0,9
4100459,0,0,0,0,10
4100459,0,0,0,0,11
4100459,4,4,60,69,12
4100459,0,0,0,0,13
4100459,0,0,0,0,14
4100459,0,0,0,0,15
4100459,0,0,0,0,16
4100459,0,0,0,0,17
4100459,0,0,0,0,18
4100459,0,0,0,0,19
4100459,0,0,0,0,20
4100459,0,0,0,0,21
4100459,0,0,0,0,22
4100459,0,0,0,0,23
4100459,0,0,0,0,24
4100459,0,0,0,0,25
4100459,0,0,0,0,26
4100459,0,0,0,0,27
4100459,0,0,0,0,28
4100459,0,0,0,0,29
4100459,0,0,0,0,30
4100459,0,0,0,0,31
4100459,0,0,0,0,32
4100459,0,0,0,0,33
4100459,0,0,0,0,34
4100459,18,18,18,86,35
4100459,0,0,0,0,36
4100459,5,5,8,124,37
4100459,0,0,0,0,38
4100459,0,0,0,0,39
4100459,0,0,0,0,40
4100459,0,0,0,0,41
4100459,0,0,0,0,42
4100459,0,0,0,0,43
4100459,0,0,0,0,44
4100459,0,0,0,0,45
4100459,0,0,0,0,46
4100459,0,0,0,0,47
4100459,0,0,0,0,48
4100459,0,0,0,0,49
4100459,0,0,0,0,50
4100459,0,0,0,0,51
4100459,0,0,0,0,52
4100459,0,0,0,0,53
4100459,0,0,0,0,54
4100459,1570,1570,6350,7872,55
4100459,0,0,0,0,56
4100459,0,0,0,0,57
4100459,0,0,0,0,58
4100459,0,0,0,0,59
4100459,0,0,0,0,60
4100459,0,0,0,0,61
4100459,0,0,0,0,62
4100459,2500,2500,5750,18302,63
4100459,0,0,0,0,64
4100459,0,0,0,0,65
4100459,0,0,0,0,66
4100459,100,100,220,348,67
4100459,0,0,0,0,68
4100459,0,0,0,0,69
4100459,0,0,0,0,70
4100459,3,3,30,171,71
4100509,95,95,1900,5472,1
4100509,0,0,0,0,2
4100509,0,0,0,0,3
4100509,0,0,0,0,4
4100509,0,0,0,0,5
4100509,0,0,0,0,6
4100509,0,0,0,0,7
4100509,0,0,0,0,8
4100509,0,0,0,0,9
4100509,0,0,0,0,10
4100509,0,0,0,0,11
4100509,40,40,700,799,12
4100509,5,5,100,170,13
4100509,0,0,0,0,14
4100509,0,0,0,0,15
4100509,0,0,0,0,16
4100509,0,0,0,0,17
4100509,88,88,30,567,18
4100509,88,88,30,567,19
4100509,0,0,0,0,20
4100509,0,0,0,0,21
4100509,0,0,0,0,22
4100509,0,0,0,0,23
4100509,0,0,0,0,24
4100509,0,0,0,0,25
4100509,0,0,0,0,26
4100509,0,0,0,0,27
4100509,0,0,0,0,28
4100509,0,0,0,0,29
4100509,8,8,5,9,30
