cd_munibge,cd_microibge,cd_mesoibge,cd_ufibge,municipio,microrregiao,mesorregiao,uf_nome,uf,lat,lon
1100015,11006,1102,11,Alta Floresta D'Oeste,Cacoal,Leste Rondoniense,Rondônia,RO,-11.929692,-61.996128
1100023,11003,1102,11,Ariquemes,Ariquemes,Leste Rondoniense,Rondônia,RO,-9.907652,-63.033069
1100031,11008,1102,11,Cabixi,Colorado do Oeste,Leste Rondoniense,Rondônia,RO,-13.495609,-60.542531
1100049,11006,1102,11,Cacoal,Cacoal,Leste Rondoniense,Rondônia,RO,-11.4333,-61.44205
1100056,11008,1102,11,Cerejeiras,Colorado do Oeste,Leste Rondoniense,Rondônia,RO,-13.186987,-60.816836
1100064,11008,1102,11,Colorado do Oeste,Colorado do Oeste,Leste Rondoniense,Rondônia,RO,-13.117431,-60.545428
1100072,11008,1102,11,Corumbiara,Colorado do Oeste,Leste Rondoniense,Rondônia,RO,-12.997767,-60.945501
1100080,11002,1101,11,Costa Marques,Guajará-Mirim,Madeira-Guaporé,Rondônia,RO,-12.436716,-64.227976
1100098,11006,1102,11,Espigão D'Oeste,Cacoal,Leste Rondoniense,Rondônia,RO,-11.532175,-61.013093
1100106,11002,1101,11,Guajará-Mirim,Guajará-Mirim,Madeira-Guaporé,Rondônia,RO,-10.780424,-65.332782
1100114,11004,1102,11,Jaru,Ji-Paraná,Leste Rondoniense,Rondônia,RO,-10.431826,-62.478769
1100122,11004,1102,11,Ji-Paraná,Ji-Paraná,Leste Rondoniense,Rondônia,RO,-10.877815,-61.927785
1100130,11003,1102,11,Machadinho D'Oeste,Ariquemes,Leste Rondoniense,Rondônia,RO,-9.234,-61.92928
1100148,11005,1102,11,Nova Brasilândia D'Oeste,Alvorada D'Oeste,Leste Rondoniense,Rondônia,RO,-11.722692,-62.315545
1100155,11004,1102,11,Ouro Preto do Oeste,Ji-Paraná,Leste Rondoniense,Rondônia,RO,-10.722335,-62.253341
1100189,11007,1102,11,Pimenta Bueno,Vilhena,Leste Rondoniense,Rondônia,RO,-11.676787,-61.18639
1100205,11001,1101,11,Porto Velho,Porto Velho,Madeira-Guaporé,Rondônia,RO,-8.749452,-63.873544
1100254,11004,1102,11,Presidente Médici,Ji-Paraná,Leste Rondoniense,Rondônia,RO,-11.168664,-61.905763
1100262,11003,1102,11,Rio Crespo,Ariquemes,Leste Rondoniense,Rondônia,RO,-9.705278,-62.900447
1100288,11006,1102,11,Rolim de Moura,Cacoal,Leste Rondoniense,Rondônia,RO,-11.727071,-61.771411
1100296,11006,1102,11,Santa Luzia D'Oeste,Cacoal,Leste Rondoniense,Rondônia,RO,-11.906369,-61.779737
1100304,11007,1102,11,Vilhena,Vilhena,Leste Rondoniense,Rondônia,RO,-12.736854,-60.146555
1100320,11005,1102,11,São Miguel do Guaporé,Alvorada D'Oeste,Leste Rondoniense,Rondônia,RO,-11.695147,-62.719574
1100338,11001,1101,11,Nova Mamoré,Porto Velho,Madeira-Guaporé,Rondônia,RO,-10.410486,-65.331376
1100346,11005,1102,11,Alvorada D'Oeste,Alvorada D'Oeste,Leste Rondoniense,Rondônia,RO,-11.346271,-62.284697
1100379,11006,1102,11,Alto Alegre dos Parecis,Cacoal,Leste Rondoniense,Rondônia,RO,-12.131451,-61.856265
1100403,11003,1102,11,Alto Paraíso,Ariquemes,Leste Rondoniense,Rondônia,RO,-9.6955,-63.376682
1100452,11001,1101,11,Buritis,Porto Velho,Madeira-Guaporé,Rondônia,RO,-10.089,-63.911333
1100502,11006,1102,11,Novo Horizonte do Oeste,Cacoal,Leste Rondoniense,Rondônia,RO,-11.710531,-61.999328
1100601,11003,1102,11,Cacaulândia,Ariquemes,Leste Rondoniense,Rondônia,RO,-10.338004,-62.900723
1100700,11001,1101,11,Campo Novo de Rondônia,Porto Velho,Madeira-Guaporé,Rondônia,RO,-10.570423,-63.619951
1100809,11001,1101,11,Candeias do Jamari,Porto Velho,Madeira-Guaporé,Rondônia,RO,-8.833036,-63.263238
1100908,11006,1102,11,Castanheiras,Cacoal,Leste Rondoniense,Rondônia,RO,-11.427721,-61.94868
1100924,11007,1102,11,Chupinguaia,Vilhena,Leste Rondoniense,Rondônia,RO,-12.552892,-60.902782
1100940,11001,1101,11,Cujubim,Porto Velho,Madeira-Guaporé,Rondônia,RO,-9.368792,-62.583211
1101005,11004,1102,11,Governador Jorge Teixeira,Ji-Paraná,Leste Rondoniense,Rondônia,RO,-10.614022,-62.732641
1101104,11001,1101,11,Itapuã do Oeste,Porto Velho,Madeira-Guaporé,Rondônia,RO,-9.128,-63.123708
1101203,11006,1102,11,Ministro Andreazza,Cacoal,Leste Rondoniense,Rondônia,RO,-11.198104,-61.516742
1101302,11004,1102,11,Mirante da Serra,Ji-Paraná,Leste Rondoniense,Rondônia,RO,-11.032169,-62.671701
1101401,11003,1102,11,Monte Negro,Ariquemes,Leste Rondoniense,Rondônia,RO,-10.247,-63.379073
1101435,11004,1102,11,Nova União,Ji-Paraná,Leste Rondoniense,Rondônia,RO,-10.91591,-62.55701
1101450,11007,1102,11,Parecis,Vilhena,Leste Rondoniense,Rondônia,RO,-12.181071,-61.603756
1101468,11008,1102,11,Pimenteiras do Oeste,Colorado do Oeste,Leste Rondoniense,Rondônia,RO,-13.482271,-61.047052
1101476,11007,1102,11,Primavera de Rondônia,Vilhena,Leste Rondoniense,Rondônia,RO,-11.829456,-61.315336
1101484,11007,1102,11,São Felipe D'Oeste,Vilhena,Leste Rondoniense,Rondônia,RO,-11.90973,-61.511482
1101492,11002,1101,11,São Francisco do Guaporé,Guajará-Mirim,Madeira-Guaporé,Rondônia,RO,-12.060998,-63.566831
1101500,11005,1102,11,Seringueiras,Alvorada D'Oeste,Leste Rondoniense,Rondônia,RO,-11.771574,-63.034683
1101559,11004,1102,11,Teixeirópolis,Ji-Paraná,Leste Rondoniense,Rondônia,RO,-10.933697,-62.256005
1101609,11004,1102,11,Theobroma,Ji-Paraná,Leste Rondoniense,Rondônia,RO,-10.246489,-62.34938
1101708,11004,1102,11,Urupá,Ji-Paraná,Leste Rondoniense,Rondônia,RO,-11.125653,-62.37042
1101757,11003,1102,11,Vale do Anari,Ariquemes,Leste Rondoniense,Rondônia,RO,-9.690244,-61.770792
1101807,11004,1102,11,Vale do Paraíso,Ji-Paraná,Leste Rondoniense,Rondônia,RO,-10.359,-62.069832
1200013,12004,1202,12,Acrelândia,Rio Branco,Vale do Acre,Acre,AC,-10.075917,-67.05269
1200054,12005,1202,12,Assis Brasil,Brasiléia,Vale do Acre,Acre,AC,-10.94092,-69.567211
1200104,12005,1202,12,Brasiléia,Brasiléia,Vale do Acre,Acre,AC,-11.001041,-68.748789
1200138,12004,1202,12,Bujari,Rio Branco,Vale do Acre,Acre,AC,-9.830966,-67.952089
1200179,12004,1202,12,Capixaba,Rio Branco,Vale do Acre,Acre,AC,-10.574134,-67.675972
1200203,12001,1201,12,Cruzeiro do Sul,Cruzeiro do Sul,Vale do Juruá,Acre,AC,-7.630796,-72.670387
1200252,12005,1202,12,Epitaciolândia,Brasiléia,Vale do Acre,Acre,AC,-11.028944,-68.741152
1200302,12002,1201,12,Feijó,Tarauacá,Vale do Juruá,Acre,AC,-8.164865,-70.353958
1200328,12002,1201,12,Jordão,Tarauacá,Vale do Juruá,Acre,AC,-9.191141,-71.94814
1200336,12001,1201,12,Mâncio Lima,Cruzeiro do Sul,Vale do Juruá,Acre,AC,-7.614591,-72.905264
1200344,12003,1202,12,Manoel Urbano,Sena Madureira,Vale do Acre,Acre,AC,-8.838861,-69.262062
1200351,12001,1201,12,Marechal Thaumaturgo,Cruzeiro do Sul,Vale do Juruá,Acre,AC,-8.940751,-72.79151
1200385,12004,1202,12,Plácido de Castro,Rio Branco,Vale do Acre,Acre,AC,-10.323915,-67.18242
1200393,12001,1201,12,Porto Walter,Cruzeiro do Sul,Vale do Juruá,Acre,AC,-8.268772,-72.744446
1200401,12004,1202,12,Rio Branco,Rio Branco,Vale do Acre,Acre,AC,-9.976536,-67.822078
1200427,12001,1201,12,Rodrigues Alves,Cruzeiro do Sul,Vale do Juruá,Acre,AC,-7.738028,-72.650938
1200435,12003,1202,12,Santa Rosa do Purus,Sena Madureira,Vale do Acre,Acre,AC,-9.435487,-70.492611
1200450,12004,1202,12,Senador Guiomard,Rio Branco,Vale do Acre,Acre,AC,-9.9765,-67.31914
1200500,12003,1202,12,Sena Madureira,Sena Madureira,Vale do Acre,Acre,AC,-9.065956,-68.657106
1200609,12002,1201,12,Tarauacá,Tarauacá,Vale do Juruá,Acre,AC,-8.160202,-70.766537
1200708,12005,1202,12,Xapuri,Brasiléia,Vale do Acre,Acre,AC,-10.651117,-68.50179
1200807,12004,1202,12,Porto Acre,Rio Branco,Vale do Acre,Acre,AC,-9.6365,-67.648263
1300029,13005,1303,13,Alvarães,Tefé,Centro Amazonense,Amazonas,AM,-3.214786,-64.814312
1300060,13003,1302,13,Amaturá,Alto Solimões,Sudoeste Amazonense,Amazonas,AM,-3.374547,-68.200456
1300086,13006,1303,13,Anamã,Coari,Centro Amazonense,Amazonas,AM,-3.579736,-61.405
1300102,13006,1303,13,Anori,Coari,Centro Amazonense,Amazonas,AM,-3.743525,-61.66052
1300144,13013,1304,13,Apuí,Madeira,Sul Amazonense,Amazonas,AM,-7.194019,-59.883019
1300201,13003,1302,13,Atalaia do Norte,Alto Solimões,Sudoeste Amazonense,Amazonas,AM,-4.370551,-70.1967
1300300,13007,1303,13,Autazes,Manaus,Centro Amazonense,Amazonas,AM,-3.583328,-59.130152
1300409,13001,1301,13,Barcelos,Rio Negro,Norte Amazonense,Amazonas,AM,-0.972921,-62.925635
1300508,13010,1303,13,Barreirinha,Parintins,Centro Amazonense,Amazonas,AM,-2.798863,-57.067897
1300607,13003,1302,13,Benjamin Constant,Alto Solimões,Sudoeste Amazonense,Amazonas,AM,-4.381307,-70.032992
1300631,13006,1303,13,Beruri,Coari,Centro Amazonense,Amazonas,AM,-3.900713,-61.371732
1300680,13010,1303,13,Boa Vista do Ramos,Parintins,Centro Amazonense,Amazonas,AM,-2.952575,-57.531538
1300706,13011,1304,13,Boca do Acre,Boca do Acre,Sul Amazonense,Amazonas,AM,-8.571773,-68.274364
1300805,13013,1304,13,Borba,Madeira,Sul Amazonense,Amazonas,AM,-4.393478,-59.594772
1300839,13006,1303,13,Caapiranga,Coari,Centro Amazonense,Amazonas,AM,-3.318888,-61.20964
1300904,13012,1304,13,Canutama,Purus,Sul Amazonense,Amazonas,AM,-6.533002,-64.383497
1301001,13004,1302,13,Carauari,Juruá,Sudoeste Amazonense,Amazonas,AM,-4.876643,-66.896143
1301100,13007,1303,13,Careiro,Manaus,Centro Amazonense,Amazonas,AM,-3.818528,-60.36165
1301159,13007,1303,13,Careiro da Várzea,Manaus,Centro Amazonense,Amazonas,AM,-3.314,-59.555735
1301209,13006,1303,13,Coari,Coari,Centro Amazonense,Amazonas,AM,-4.088596,-63.143117
1301308,13006,1303,13,Codajás,Coari,Centro Amazonense,Amazonas,AM,-3.84132,-62.060344
1301407,13004,1302,13,Eirunepé,Juruá,Sudoeste Amazonense,Amazonas,AM,-6.656765,-69.866161
1301506,13004,1302,13,Envira,Juruá,Sudoeste Amazonense,Amazonas,AM,-7.437889,-70.028143
1301605,13003,1302,13,Fonte Boa,Alto Solimões,Sudoeste Amazonense,Amazonas,AM,-2.55,-66.913214
1301654,13004,1302,13,Guajará,Juruá,Sudoeste Amazonense,Amazonas,AM,-7.545593,-72.583277
1301704,13013,1304,13,Humaitá,Madeira,Sul Amazonense,Amazonas,AM,-7.50994,-63.024867
1301803,13004,1302,13,Ipixuna,Juruá,Sudoeste Amazonense,Amazonas,AM,-7.047909,-71.693426
1301852,13007,1303,13,Iranduba,Manaus,Centro Amazonense,Amazonas,AM,-3.27582,-60.186743
1301902,13009,1303,13,Itacoatiara,Itacoatiara,Centro Amazonense,Amazonas,AM,-3.142928,-58.443873
1301951,13004,1302,13,Itamarati,Juruá,Sudoeste Amazonense,Amazonas,AM,-6.438519,-68.243738
1302009,13009,1303,13,Itapiranga,Itacoatiara,Centro Amazonense,Amazonas,AM,-2.74612,-58.025377
1302108,13002,1301,13,Japurá,Japurá,Norte Amazonense,Amazonas,AM,-1.880847,-66.996766
1302207,13004,1302,13,Juruá,Juruá,Sudoeste Amazonense,Amazonas,AM,-3.474667,-66.062234
1302306,13003,1302,13,Jutaí,Alto Solimões,Sudoeste Amazonense,Amazonas,AM,-2.747148,-66.772125
1302405,13012,1304,13,Lábrea,Purus,Sul Amazonense,Amazonas,AM,-7.261368,-64.79245
1302504,13007,1303,13,Manacapuru,Manaus,Centro Amazonense,Amazonas,AM,-3.299677,-60.621353
1302553,13007,1303,13,Manaquiri,Manaus,Centro Amazonense,Amazonas,AM,-3.430588,-60.459308
1302603,13007,1303,13,Manaus,Manaus,Centro Amazonense,Amazonas,AM,-3.131633,-59.982504
1302702,13013,1304,13,Manicoré,Madeira,Sul Amazonense,Amazonas,AM,-5.804618,-61.289483
1302801,13002,1301,13,Maraã,Japurá,Norte Amazonense,Amazonas,AM,-1.853129,-65.572995
1302900,13010,1303,13,Maués,Parintins,Centro Amazonense,Amazonas,AM,-3.37958,-57.719607
1303007,13010,1303,13,Nhamundá,Parintins,Centro Amazonense,Amazonas,AM,-2.192152,-56.711131
1303106,13009,1303,13,Nova Olinda do Norte,Itacoatiara,Centro Amazonense,Amazonas,AM,-3.892689,-59.095305
1303205,13001,1301,13,Novo Airão,Rio Negro,Norte Amazonense,Amazonas,AM,-1.807,-61.016617
1303304,13013,1304,13,Novo Aripuanã,Madeira,Sul Amazonense,Amazonas,AM,-6.828,-60.228554
1303403,13010,1303,13,Parintins,Parintins,Centro Amazonense,Amazonas,AM,-2.634457,-56.731932
1303502,13011,1304,13,Pauini,Boca do Acre,Sul Amazonense,Amazonas,AM,-7.712221,-66.999844
1303536,13008,1303,13,Presidente Figueiredo,Rio Preto da Eva,Centro Amazonense,Amazonas,AM,-2.048636,-60.023666
1303569,13008,1303,13,Rio Preto da Eva,Rio Preto da Eva,Centro Amazonense,Amazonas,AM,-3.130769,-59.278369
1303601,13001,1301,13,Santa Isabel do Rio Negro,Rio Negro,Norte Amazonense,Amazonas,AM,-0.414494,-65.016701
1303700,13003,1302,13,Santo Antônio do Içá,Alto Solimões,Sudoeste Amazonense,Amazonas,AM,-3.095443,-67.946279
1303809,13001,1301,13,São Gabriel da Cachoeira,Rio Negro,Norte Amazonense,Amazonas,AM,-0.11909,-67.084042
1303908,13003,1302,13,São Paulo de Olivença,Alto Solimões,Sudoeste Amazonense,Amazonas,AM,-3.465063,-68.946846
1303957,13010,1303,13,São Sebastião do Uatumã,Parintins,Centro Amazonense,Amazonas,AM,-1.895781,-58.810522
1304005,13009,1303,13,Silves,Itacoatiara,Centro Amazonense,Amazonas,AM,-2.8385,-58.50306
1304062,13003,1302,13,Tabatinga,Alto Solimões,Sudoeste Amazonense,Amazonas,AM,-4.232735,-69.926337
1304104,13012,1304,13,Tapauá,Purus,Sul Amazonense,Amazonas,AM,-5.623228,-63.187916
1304203,13005,1303,13,Tefé,Tefé,Centro Amazonense,Amazonas,AM,-3.348528,-64.710228
1304237,13003,1302,13,Tonantins,Alto Solimões,Sudoeste Amazonense,Amazonas,AM,-2.86261,-67.773548
1304260,13005,1303,13,Uarini,Tefé,Centro Amazonense,Amazonas,AM,-2.982706,-65.157861
1304302,13010,1303,13,Urucará,Parintins,Centro Amazonense,Amazonas,AM,-2.537073,-57.759025
1304401,13009,1303,13,Urucurituba,Itacoatiara,Centro Amazonense,Amazonas,AM,-3.130433,-58.154916
1400027,14001,1401,14,Amajari,Boa Vista,Norte de Roraima,Roraima,RR,3.652387,-61.419431
1400050,14001,1401,14,Alto Alegre,Boa Vista,Norte de Roraima,Roraima,RR,2.98858,-61.307167
1400100,14001,1401,14,Boa Vista,Boa Vista,Norte de Roraima,Roraima,RR,2.820848,-60.671958
1400159,14002,1401,14,Bonfim,Nordeste de Roraima,Norte de Roraima,Roraima,RR,3.361382,-59.842724
1400175,14002,1401,14,Cantá,Nordeste de Roraima,Norte de Roraima,Roraima,RR,2.60994,-60.605827
1400209,14003,1402,14,Caracaraí,Caracaraí,Sul de Roraima,Roraima,RR,1.827598,-61.125389
1400233,14004,1402,14,Caroebe,Sudeste de Roraima,Sul de Roraima,Roraima,RR,0.881232,-59.693227
1400282,14003,1402,14,Iracema,Caracaraí,Sul de Roraima,Roraima,RR,2.166474,-61.051305
1400308,14003,1402,14,Mucajaí,Caracaraí,Sul de Roraima,Roraima,RR,2.448608,-60.919999
1400407,14002,1401,14,Normandia,Nordeste de Roraima,Norte de Roraima,Roraima,RR,3.881613,-59.634284
1400456,14001,1401,14,Pacaraima,Boa Vista,Norte de Roraima,Roraima,RR,4.479125,-61.147102
1400472,14004,1402,14,Rorainópolis,Sudeste de Roraima,Sul de Roraima,Roraima,RR,0.938731,-60.423646
1400506,14004,1402,14,São João da Baliza,Sudeste de Roraima,Sul de Roraima,Roraima,RR,0.76936,-59.921166
1400605,14004,1402,14,São Luiz,Sudeste de Roraima,Sul de Roraima,Roraima,RR,0.847113,-60.144069
1400704,14002,1401,14,Uiramutã,Nordeste de Roraima,Norte de Roraima,Roraima,RR,4.595369,-60.159886
1500107,15011,1504,15,Abaetetuba,Cametá,Nordeste Paraense,Pará,PA,-1.721828,-48.878843
1500131,15017,1506,15,Abel Figueiredo,Paragominas,Sudeste Paraense,Pará,PA,-4.962742,-48.393954
1500206,15012,1504,15,Acará,Tomé-Açu,Nordeste Paraense,Pará,PA,-1.961388,-48.198704
1500305,15005,1502,15,Afuá,Furos de Breves,Marajó,Pará,PA,-0.155503,-50.388866
1500347,15019,1506,15,Água Azul do Norte,Parauapebas,Sudeste Paraense,Pará,PA,-6.762088,-50.32878
1500404,15002,1501,15,Alenquer,Santarém,Baixo Amazonas,Pará,PA,-0.297818,-55.152719
1500503,15003,1501,15,Almeirim,Almeirim,Baixo Amazonas,Pará,PA,-1.529038,-52.578811
