cod_munibge,quantidade,valor,cod_produto,ano
4100103,678,1409000,1,2021
4100103,1658,6468000,2,2021
4100103,0,0,3,2021
4100103,2200,32000,4,2021
4100103,0,0,5,2021
4100103,0,0,6,2021
4100202,1456,2796000,1,2021
4100202,82,252000,2,2021
4100202,0,0,3,2021
4100202,15500,166000,4,2021
4100202,0,0,5,2021
4100202,185,0,6,2021
4100301,710,1349000,1,2021
4100301,145,870000,2,2021
4100301,0,0,3,2021
4100301,13500,270000,4,2021
4100301,0,0,5,2021
4100301,1150,2000,6,2021
4100400,450,936000,1,2021
4100400,570,2223000,2,2021
4100400,14,44000,3,2021
4100400,2700,67000,4,2021
4100400,0,0,5,2021
4100400,6000,14000,6,2021
4100459,4684,7775000,1,2021
4100459,17,53000,2,2021
4100459,0,0,3,2021
4100459,2500,27000,4,2021
4100459,6006,129000,5,2021
4100459,0,0,6,2021
4100509,14095,29600000,1,2021
4100509,50,148000,2,2021
4100509,0,0,3,2021
4100509,118000,1711000,4,2021
4100509,28616,592000,5,2021
4100509,0,0,6,2021
4100608,5100,8670000,1,2021
4100608,4,14000,2,2021
4100608,0,0,3,2021
4100608,44000,704000,4,2021
4100608,59531,1191000,5,2021
4100608,0,0,6,2021
4100707,5927,12386000,1,2021
4100707,13,41000,2,2021
4100707,0,0,3,2021
4100707,1900,29000,4,2021
4100707,1415,29000,5,2021
4100707,0,0,6,2021
4100806,195,287000,1,2021
4100806,129,497000,2,2021
4100806,0,0,3,2021
4100806,3480,66000,4,2021
4100806,556,13000,5,2021
4100806,0,0,6,2021
4100905,2520,4536000,1,2021
4100905,21,71000,2,2021
4100905,0,0,3,2021
4100905,10900,217000,4,2021
4100905,335,7000,5,2021
4100905,0,0,6,2021
4101002,30891,50969000,1,2021
4101002,549,1454000,2,2021
4101002,13,24000,3,2021
4101002,7120,117000,4,2021
4101002,8436,177000,5,2021
4101002,446,4000,6,2021
4101051,2620,4716000,1,2021
4101051,2691,6726000,2,2021
4101051,3,3000,3,2021
4101051,4580,42000,4,2021
4101051,0,0,5,2021
4101051,0,0,6,2021
4101101,455,946000,1,2021
4101101,32,126000,2,2021
4101101,0,0,3,2021
4101101,0,0,4,2021
4101101,0,0,5,2021
4101101,0,0,6,2021
4101150,2010,3518000,1,2021
4101150,22,78000,2,2021
4101150,0,0,3,2021
4101150,860,14000,4,2021
4101150,0,0,5,2021
4101150,0,0,6,2021
4101200,98,163000,1,2021
4101200,81,249000,2,2021
4101200,0,0,3,2021
4101200,3000,32000,4,2021
4101200,0,0,5,2021
4101200,0,0,6,2021
4101309,1600,2720000,1,2021
4101309,108,605000,2,2021
4101309,0,0,3,2021
4101309,14100,254000,4,2021
4101309,593,10000,5,2021
4101309,3200,13000,6,2021
4101408,2266,4397000,1,2021
4101408,62,619000,2,2021
4101408,4563,5110000,3,2021
4101408,44500,656000,4,2021
4101408,3341,72000,5,2021
4101408,250,1000,6,2021
4101507,2610,5559000,1,2021
4101507,44460,153387000,2,2021
4101507,1305,2114000,3,2021
4101507,930,14000,4,2021
4101507,31003,682000,5,2021
4101507,103,1000,6,2021
4101606,100794,181430000,1,2021
4101606,41,98000,2,2021
4101606,0,0,3,2021
4101606,925631,14125000,4,2021
4101606,587,12000,5,2021
4101606,2378,12000,6,2021
4101655,4900,10388000,1,2021
4101655,38,232000,2,2021
4101655,0,0,3,2021
4101655,0,0,4,2021
4101655,0,0,5,2021
4101655,0,0,6,2021
4101705,7100,11786000,1,2021
4101705,9,26000,2,2021
4101705,0,0,3,2021
4101705,14000,150000,4,2021
4101705,32417,699000,5,2021
4101705,0,0,6,2021
4101804,616,1121000,1,2021
4101804,3185,12167000,2,2021
4101804,0,0,3,2021
4101804,31580,347000,4,2021
4101804,0,0,5,2021
4101804,2782,20000,6,2021
4101853,7000,14350000,1,2021
4101853,19,113000,2,2021
4101853,0,0,3,2021
4101853,1500,23000,4,2021
4101853,805,17000,5,2021
4101853,0,0,6,2021
4101903,430,671000,1,2021
4101903,213,814000,2,2021
4101903,0,0,3,2021
4101903,4650,126000,4,2021
4101903,0,0,5,2021
4101903,0,0,6,2021
4102000,6895,14342000,1,2021
4102000,639,2493000,2,2021
4102000,2,2000,3,2021
4102000,9600,126000,4,2021
4102000,0,0,5,2021
4102000,0,0,6,2021
4102109,3690,5683000,1,2021
4102109,7856,38495000,2,2021
4102109,0,0,3,2021
4102109,1380,21000,4,2021
4102109,61610,1355000,5,2021
4102109,23,0,6,2021
4102208,1260,2608000,1,2021
4102208,327,978000,2,2021
4102208,0,0,3,2021
4102208,450,13000,4,2021
4102208,14981,315000,5,2021
4102208,0,0,6,2021
4102307,1642,3038000,1,2021
4102307,159,475000,2,2021
4102307,0,0,3,2021
4102307,8152,102000,4,2021
4102307,0,0,5,2021
4102307,5324,37000,6,2021
4102406,2023,4046000,1,2021
4102406,320,1440000,2,2021
4102406,0,0,3,2021
4102406,6800,73000,4,2021
4102406,0,0,5,2021
4102406,0,0,6,2021
4102505,6038,10023000,1,2021
4102505,18,54000,2,2021
4102505,0,0,3,2021
4102505,27000,290000,4,2021
4102505,23688,510000,5,2021
4102505,0,0,6,2021
4102604,17391,36869000,1,2021
4102604,2102,6202000,2,2021
4102604,7,8000,3,2021
4102604,6000,71000,4,2021
4102604,0,0,5,2021
4102604,0,0,6,2021
4102703,734,1527000,1,2021
4102703,105,410000,2,2021
4102703,0,0,3,2021
4102703,2500,37000,4,2021
4102703,153,3000,5,2021
4102703,0,0,6,2021
4102752,11239,18544000,1,2021
4102752,265,701000,2,2021
4102752,2,5000,3,2021
4102752,6930,114000,4,2021
4102752,1002,21000,5,2021
4102752,52,0,6,2021
4102802,220,330000,1,2021
4102802,46,186000,2,2021
4102802,0,0,3,2021
4102802,1200,31000,4,2021
4102802,0,0,5,2021
4102802,0,0,6,2021
4102901,11500,22540000,1,2021
4102901,108,562000,2,2021
4102901,0,0,3,2021
4102901,330000,4950000,4,2021
4102901,0,0,5,2021
4102901,1900,6000,6,2021
4103008,3950,6557000,1,2021
4103008,5,15000,2,2021
4103008,0,0,3,2021
4103008,6500,70000,4,2021
4103008,0,0,5,2021
4103008,0,0,6,2021
4103024,15516,30567000,1,2021
4103024,2341,8147000,2,2021
4103024,1,1000,3,2021
4103024,5000,59000,4,2021
4103024,0,0,5,2021
4103024,0,0,6,2021
4103040,27200,48416000,1,2021
4103040,42,189000,2,2021
4103040,4,11000,3,2021
4103040,30000,330000,4,2021
4103040,7614,168000,5,2021
4103040,0,0,6,2021
4103057,9945,17901000,1,2021
4103057,38,107000,2,2021
4103057,10,12000,3,2021
4103057,1200,11000,4,2021
4103057,45824,923000,5,2021
4103057,160,1000,6,2021
4103107,1370,2630000,1,2021
4103107,135,416000,2,2021
4103107,0,0,3,2021
4103107,65000,696000,4,2021
4103107,0,0,5,2021
4103107,1520,4000,6,2021
4103156,16585,33502000,1,2021
4103156,150,507000,2,2021
4103156,1,1000,3,2021
4103156,8100,96000,4,2021
4103156,1366,30000,5,2021
4103156,10,0,6,2021
4103206,973,1927000,1,2021
4103206,10,94000,2,2021
4103206,0,0,3,2021
4103206,540,8000,4,2021
4103206,3203,69000,5,2021
4103206,300,1000,6,2021
4103222,5701,11459000,1,2021
4103222,3372,6473000,2,2021
4103222,6,14000,3,2021
4103222,2820,59000,4,2021
4103222,0,0,5,2021
4103222,130,1000,6,2021
4103305,850,1785000,1,2021
4103305,450,2790000,2,2021
4103305,0,0,3,2021
4103305,2700,25000,4,2021
4103305,802,16000,5,2021
4103305,0,0,6,2021
4103354,1470,2455000,1,2021
4103354,160,512000,2,2021
4103354,1,1000,3,2021
4103354,12300,112000,4,2021
4103354,7539,143000,5,2021
4103354,0,0,6,2021
4103370,2642,5495000,1,2021
4103370,4,15000,2,2021
4103370,0,0,3,2021
4103370,1800,24000,4,2021
4103370,736,15000,5,2021
4103370,0,0,6,2021
4103404,2000,4140000,1,2021
4103404,5,34000,2,2021
4103404,0,0,3,2021
4103404,240,4000,4,2021
4103404,0,0,5,2021
4103404,0,0,6,2021
4103453,7896,16423000,1,2021
4103453,1487,4195000,2,2021
4103453,7,7000,3,2021
4103453,5100,67000,4,2021
4103453,0,0,5,2021
4103453,0,0,6,2021
4103479,5562,10791000,1,2021
4103479,15,45000,2,2021
4103479,0,0,3,2021
4103479,2000,30000,4,2021
4103479,785,16000,5,2021
4103479,0,0,6,2021
4103503,2829,6168000,1,2021
4103503,9,88000,2,2021
4103503,0,0,3,2021
4103503,5000,76000,4,2021
4103503,5509,119000,5,2021
4103503,0,0,6,2021
4103602,251,522000,1,2021
4103602,111,433000,2,2021
4103602,0,0,3,2021
4103602,5000,74000,4,2021
4103602,0,0,5,2021
4103602,0,0,6,2021
4103701,216,306000,1,2021
4103701,39,97000,2,2021
4103701,0,0,3,2021
4103701,1560,24000,4,2021
